2023-11-16T13:04:09.217811 None
2023-11-16T13:04:09.731253 None
2023-11-16T13:04:10.243052 None
2023-11-16T13:04:10.751027 None
2023-11-16T13:04:11.261401 None
2023-11-16T13:04:11.774449 None
2023-11-16T13:04:12.287889 None
2023-11-16T13:04:12.799721 None
2023-11-16T13:04:13.307585 None
2023-11-16T13:04:13.817989 None
2023-11-16T13:04:14.329342 None
2023-11-16T13:04:14.843119 None
2023-11-16T13:04:15.355742 None
2023-11-16T13:04:15.863692 None
2023-11-16T13:04:16.375927 None
2023-11-16T13:04:16.891102 None
2023-11-16T13:04:17.398916 None
2023-11-16T13:04:17.909321 None
2023-11-16T13:04:18.420751 None
2023-11-16T13:04:18.934724 None
2023-11-16T13:27:04.314813 14305 1.7881795709097568
2023-11-16T13:27:04.897528 14272 1.785679494613483
2023-11-16T13:27:05.484784 14171 1.7729291055024872
2023-11-16T13:27:06.618674 14109 1.7674289376506853
2023-11-16T13:27:07.196757 14081 1.7646788537247842
2023-11-16T13:27:07.780134 14163 1.7691789910580769
2023-11-16T13:27:08.366303 14030 1.754428540910062
2023-11-16T13:27:08.948322 14163 1.7681789605395672
2023-11-16T13:27:09.539487 14230 1.7779292580950348
2023-11-16T13:27:10.113764 14208 1.7789292886135442
2023-11-16T13:27:10.709179 14108 1.7644288460951567
2023-11-16T13:27:11.286192 14176 1.7695540025025178
2023-11-16T13:27:11.865487 14175 1.7563035981322672
2023-11-16T13:27:12.453048 14128 1.7654288766136663
2023-11-16T13:27:13.026181 13843 1.7299277932065797
2023-11-16T13:27:13.602384 14078 1.7589286782433546
2023-11-16T13:27:14.178228 14089 1.7601787163914915
2023-11-16T13:27:14.760994 14019 1.7579286477248453
2023-11-16T13:27:15.344993 13984 1.7448032471694084
2023-11-16T13:27:15.920008 14036 1.7539285256508073
2023-11-16T13:27:16.499366 13960 1.748053346354564
2023-11-16T13:27:17.077625 13930 1.7493033845027008
2023-11-16T13:27:17.661053 13984 1.747678334910123
2023-11-16T13:27:18.237529 13921 1.7395530869472335
2023-11-16T13:27:18.812517 13947 1.7426781823175757
2023-11-16T13:27:19.392489 13927 1.7361779839472642
2023-11-16T13:27:19.975750 13776 1.727052705465865
2023-11-16T13:27:20.559594 13871 1.7338029114658042
2023-11-16T13:27:21.135184 13858 1.7298027893917662
2023-11-16T13:27:21.765431 13847 1.730677816095462
2023-11-16T13:27:22.351097 13829 1.7285527512436292
2023-11-16T13:27:22.928567 13814 1.7264276863917967
2023-11-16T13:27:23.508304 13772 1.7234275948362683
2023-11-16T13:27:24.090505 13626 1.7136772972808008
2023-11-16T13:27:24.671624 13646 1.7039269997253335
2023-11-16T13:27:25.247025 13649 1.6959267555772577
2023-11-16T13:27:25.823256 13649 1.7066770836512346
2023-11-16T13:27:26.400426 13688 1.7106772057252724
2023-11-16T13:27:26.986718 13664 1.7094271675771355
2023-11-16T13:27:27.565223 13648 1.7065520798364209
2023-11-16T13:27:28.143707 13634 1.7030519730216378
2023-11-16T13:27:28.723878 13615 1.697426801355022
2023-11-16T13:27:29.306526 13538 1.6925516525772883
2023-11-16T13:27:29.885831 13584 1.6955517441328165
2023-11-16T13:27:30.466154 13508 1.6893015533921325
2023-11-16T13:27:31.042291 13523 1.6919266335032197
2023-11-16T13:27:31.624004 13519 1.6889265419476913
2023-11-16T13:27:32.208465 13454 1.681551316873684
2023-11-16T13:27:32.781996 13477 1.684676412244026
2023-11-16T13:27:33.361162 13461 1.6803012787255471
2023-11-16T13:27:33.941957 13449 1.6798012634662924
